				ctrl		alt
--------------------------------------------------------
esc		0x1b		0x1b		0x800001
backspace	0x08		0x7f		0x80000e
enter		0x0d		0x0a		0x80001c
ins		0x800052	0x800092	0x8000a2
del		0x800053	0x800093	0x8000a3
left		0x80004b	0x800073	0x80009b
right		0x80004d	0x800074	0x80009d
up		0x800048	0x80008d	0x800098
down		0x800050	0x800091	0x8000a0
f1		0x80003b	0x80005e	0x800068
f10		0x800044	0x800067	0x800071
f11		0x800085	0x800089	0x80008b
f12		0x800086	0x80008a	0x80008c
pgup		0x800049	0x800084	0x800099
pgdown		0x800051	0x800076	0x8000a1
pos1		0x800047	0x800077	0x800097
end		0x80004f	0x800075	0x80009f
